mes,indice_pimpf,ipca,taxa_selic,taxa_cambio,ibcbr,tjlp,pib_mensal,preco_brent,desembolso,debitos,arrecadacao
201806,103.4,1.26,6.4,109.18,137.03,6.6,6782893.4,75.19,5012.0,333223626.06,344091359.81
201807,104.4,0.33,6.4,110.53,140.99,6.56,6823795.3,74.44,5737.0,779174698.39,477824653.4
201808,101.8,-0.09,6.4,113.51,143.37,6.56,6866846.9,73.13,6844.0,359859158.09,378327821.84
201809,97.4,0.48,6.4,118.52,135.81,6.56,6902659.2,78.86,7955.0,393591725.49,384775581.03
201810,100.4,0.45,6.4,108.21,139.77,6.98,6951627.5,80.47,9358.0,783967268.81,467149725.02
201811,98.4,-0.21,6.4,108.44,137.6,6.98,6985193.7,65.17,10571.0,375686416.26,379498345.1
201812,94.8,0.15,6.4,110.85,136.33,6.98,7004141.0,56.46,12125.0,376188532.26,381757862.79
201901,97.5,0.32,6.4,106.78,133.42,7.03,7028052.3,59.27,1022.0,788302833.03,460423285.36
201902,104.0,0.43,6.4,106.09,133.77,7.03,7069480.8,64.13,2043.0,294049895.53,301122852.75
201903,95.0,0.75,6.4,109.22,138.98,7.03,7088907.0,66.41,2574.0,305351989.03,312607094.96
201904,99.1,0.57,6.4,110.81,139.48,6.26,7121226.2,71.20,3053.0,654861744.47,396314873.0
201905,111.7,0.13,6.4,113.78,139.25,6.26,7176451.3,70.53,3746.0,306009023.5,482866913.01
201906,95.5,0.01,6.4,109.82,135.0,6.26,7189820.6,63.30,4755.0,313103518.05,484779352.87
201907,98.4,0.19,6.4,107.51,142.94,5.95,7231391.3,64.00,5264.0,655417558.44,573608139.71
201908,97.9,0.11,5.9,114.23,141.78,5.95,7259724.1,59.25,5751.0,316360103.85,499450627.55
201909,101.7,-0.04,5.71,117.25,138.26,5.95,7305486.4,62.33,6270.0,322399181.24,508548616.13
201910,102.5,0.1,5.38,116.42,142.8,5.57,7343681.6,59.37,6678.0,704355076.22,605621874.91
201911,99.4,0.51,4.9,117.74,138.83,5.57,7374387.3,62.74,7202.0,345078783.5,520191388.89
201912,100.6,1.15,4.59,114.94,137.5,5.57,7407023.6,65.85,8737.0,342598927.46,643529680.84
202001,101.5,0.21,4.4,116.16,133.6,5.09,7435826.2,63.60,257.0,792871899.84,692094305.27
202002,99.6,0.25,4.19,121.84,134.65,5.09,7463826.9,55.00,792.0,291779806.41,503770581.36
202003,95.7,0.07,3.95,136.52,136.7,5.09,7485253.1,32.98,1294.0,296133242.61,417554960.26
202004,68.2,-0.31,3.65,147.97,119.15,4.94,7422874.5,23.34,2254.0,493683406.84,383635244.81
202005,76.2,-0.38,3.01,157.5,119.78,4.94,7365193.7,31.02,3078.0,91226121.38,286730011.02
202006,90.3,0.26,2.58,145.32,126.15,4.94,7359646.6,39.93,4283.0,100305329.67,333363310.82
202007,96.8,0.36,2.15,148.27,135.85,4.91,7349280.0,42.81,4883.0,698081021.85,570468547.82
202008,97.5,0.24,1.94,153.47,135.52,4.91,7348772.7,44.26,7081.0,514679427.58,685202898.28
202009,104.9,0.64,1.9,150.84,137.1,4.91,7367379.0,41.09,7525.0,344224479.44,623929058.53
202010,101.2,0.86,1.9,155.93,139.73,4.55,7386165.6,40.47,8319.0,1079911018.66,933792898.26
202011,104.1,0.89,1.9,149.31,138.11,4.55,7417829.9,43.23,9338.0,571848540.55,771566464.16
202012,110.2,1.35,1.9,139.66,139.41,4.55,7447858.3,49.87,12673.0,425792856.58,883336040.23
